,n_trades,win_rate,avg_return,expectancy,total_return,max_drawdown,profit_factor,avg_win,avg_loss
A_intraday_thresholds_on_daily,0.0,,,,0.0,0.0,,,
A_daily_vol_proxy_3_8,365.0,0.5041095890410959,0.006511142854121544,0.006511142854121544,0.5577281608073636,-0.6705586977716826,1.295379529589937,0.05664334609719885,-0.04445198088469737
A_no_lookahead,482.0,0.38589211618257263,-0.0047071910664230054,-0.0047071910664230054,-0.8488612980602822,-0.8818258005969444,0.8301593794991134,0.05962327565298211,-0.04513106542388703
B_limit_down_bounce,4.0,0.75,0.012717791411042956,0.012717791411042956,0.010120332479006233,-0.0069257668711656395,2.4690406590486313,0.028500000000000025,-0.03462883435582825
B_all_open_limit_down,882.0,0.5736961451247166,-0.01736643864585815,-0.01736643864585815,-0.9593871615360636,-0.9602199316852283,0.4829087292453321,0.02827005700786051,-0.07878150992453273
C_limit_up_optimistic,934.0,0.5342612419700214,0.007511953389886556,0.007511953389886556,7.8961235710529625,-0.2579377532290288,1.6275863126946526,0.03646445952364458,-0.025700231807228965
C_limit_up_conservative,934.0,0.5342612419700214,0.007511953389886556,0.007511953389886556,7.8961235710529625,-0.2579377532290288,1.6275863126946526,0.03646445952364458,-0.025700231807228965
