strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after,prev_vol_ratio,hold,amount
A_daily_vol_proxy_3_8,2024-01-11,sz.002023,海特高新,C43金属制品、机械和设备修理业,3.8723765969594908,8.75,8.94,0.020214285714285574,1010107.1428571428,,,
A_daily_vol_proxy_3_8,2024-01-11,sh.600721,百花医药,M73研究和试验发展,3.8222070342281165,7.6,7.67,0.007710526315789558,1013962.4060150376,,,
A_daily_vol_proxy_3_8,2024-01-12,sz.301203,国泰环保,N77生态保护和环境治理业,5.531462124618768,40.39,38.0,-0.06067306263926714,993455.6711570334,,,
A_daily_vol_proxy_3_8,2024-01-12,sh.600292,电投水电,N77生态保护和环境治理业,4.1754811902550335,6.32,6.28,-0.007829113924050666,990809.5287599013,,,
A_daily_vol_proxy_3_8,2024-01-12,sz.300070,碧水源,N77生态保护和环境治理业,3.7350416068073744,5.05,4.97,-0.017341584158415857,984948.2906274415,,,
A_daily_vol_proxy_3_8,2024-01-18,sz.000850,华茂股份,C17纺织业,6.297462143277727,4.17,4.18,0.0008980815347721673,985390.5725637005,,,
A_daily_vol_proxy_3_8,2024-01-18,sh.600448,华纺股份,C17纺织业,5.781040871592254,3.51,3.56,0.012745014245014343,991667.1625610251,,,
A_daily_vol_proxy_3_8,2024-01-25,sh.603970,中农立华,F51批发业,7.837423709446654,18.99,18.22,-0.0420476566614007,970818.5223741494,,,
A_daily_vol_proxy_3_8,2024-01-25,sh.600648,外高桥,F51批发业,3.626217744276789,10.86,11.97,0.10070994475138134,1020753.8949507894,,,
A_daily_vol_proxy_3_8,2024-01-26,sh.600097,开创国际,A04渔业,3.6873319994181055,12.0,10.8,-0.10149999999999998,968950.6347820369,,,
A_daily_vol_proxy_3_8,2024-01-26,sh.601949,中国出版,R86新闻和出版业,3.6690146484460544,8.29,8.14,-0.019594089264173553,958950.2633148276,,,
A_daily_vol_proxy_3_8,2024-02-23,sz.300560,中富通,I65软件和信息技术服务业,3.223630922309962,14.43,15.01,0.03869404019404016,996055.9233476169,,,
A_daily_vol_proxy_3_8,2024-02-26,sh.688211,中科微至,C34通用设备制造业,6.042926867426773,33.2,34.6,0.04066867469879504,1009558.6814570943,,,
A_daily_vol_proxy_3_8,2024-02-26,sz.300024,机器人,C34通用设备制造业,4.280407044111648,11.5,12.25,0.06371739130434789,1030714.0431334121,,,
A_daily_vol_proxy_3_8,2024-02-26,sz.002122,ST汇洲,C34通用设备制造业,3.583938283212197,3.69,3.85,0.041860433604336056,1044612.487415245,,,
A_daily_vol_proxy_3_8,2024-03-05,sz.000504,南华生物,M75科技推广和应用服务业,3.2139156112098366,8.92,8.57,-0.040737668161434926,1002057.4105456317,,,
A_daily_vol_proxy_3_8,2024-03-07,sz.002480,新筑股份,C34通用设备制造业,5.026657984956219,4.03,4.11,0.018351116625310138,1011251.8467487212,,,
A_daily_vol_proxy_3_8,2024-03-07,sz.301023,奕帆传动,C34通用设备制造业,3.7968842727582977,35.08,33.97,-0.033141961231470896,994646.7728227156,,,
A_daily_vol_proxy_3_8,2024-03-08,sz.002306,ST云网,H62餐饮业,4.869127392600027,3.72,3.72,-0.0015,993154.8026634814,,,
A_daily_vol_proxy_3_8,2024-03-11,sz.300712,永福股份,E48土木工程建筑业,4.655088106127514,21.48,26.15,0.21591154562383613,1207588.3911502897,,,
A_daily_vol_proxy_3_8,2024-03-12,sh.600984,建设机械,L71租赁业,3.628690892983333,2.97,2.81,-0.05537205387205396,1140721.7417002488,,,
A_daily_vol_proxy_3_8,2024-03-14,sh.600807,济高发展,C27医药制造业,6.595052461327144,3.47,2.93,-0.1571195965417867,1080978.4950927864,,,
A_daily_vol_proxy_3_8,2024-03-14,sz.002294,信立泰,C27医药制造业,5.527470159088902,28.5,28.3,-0.008517543859649144,1077739.7792705905,,,
A_daily_vol_proxy_3_8,2024-03-14,sh.688197,首药控股,C27医药制造业,4.97210125234085,46.0,50.0,0.08545652173913038,1110233.8167098926,,,
A_daily_vol_proxy_3_8,2024-03-15,sh.601118,海南橡胶,A01农业,3.3243987556647654,4.68,5.15,0.09892735042735051,1220066.306551847,,,
A_daily_vol_proxy_3_8,2024-03-18,sh.601118,海南橡胶,A01农业,5.4179433814767695,5.15,5.24,0.015975728155339708,1229812.0303743277,,,
A_daily_vol_proxy_3_8,2024-03-18,sz.002772,众兴菌业,A01农业,3.212868917718008,9.0,8.64,-0.041499999999999926,1204495.654513377,,,
A_daily_vol_proxy_3_8,2024-03-21,sz.000892,欢瑞世纪,R87广播、电视、电影和录音制作业,4.16694146941765,3.68,3.59,-0.02595652173913049,1188863.3956928446,,,
A_daily_vol_proxy_3_8,2024-03-21,sz.000506,招金黄金,B09有色金属矿采选业,3.503298510990341,3.97,4.14,0.04132115869017611,1213748.973733732,,,
A_daily_vol_proxy_3_8,2024-03-27,sh.603565,中谷物流,G55水上运输业,4.333260669062717,8.97,8.97,-0.0015,1211928.3502731314,,,
A_daily_vol_proxy_3_8,2024-03-29,sz.300100,双林股份,C36汽车制造业,3.110560629748864,9.32,9.46,0.013521459227467782,1220121.8701605466,,,
A_daily_vol_proxy_3_8,2024-03-29,sh.600547,山东黄金,B09有色金属矿采选业,3.0001090522321965,27.0,28.8,0.06516666666666665,1259610.535573613,,,
A_daily_vol_proxy_3_8,2024-04-03,sh.601083,锦江航运,G55水上运输业,5.359295084079161,10.26,10.14,-0.013195906432748426,1251299.684189046,,,
